Field,FieldRef,FieldSize,Action,Date,Category,Type,Description,Crop,Operator,Area_Hctrs,QtyPerHctr,CostPerHctr,TotalQty,UoM,Total,Comment,Weather,WindSpeed,TimeIn,TimeOut,GrowthStage
Opposite Rhodes (Part A) Huntington,#3301,8.5,Diamond 26N 37S03 (del 20 March 2020),24/04/2003,Fertilizers,Fertilizers,Diamond 26N 37S03 (del 20 March 2020),,Sean Lewis,8.50,154.00,35.42,1309.00,Kgs,301.07,,,,,,
Hill Top Steeraway,SJ6560,12.36,Origin 26N 35 So3,03/06/2003,Fertilizers,Compounds,Origin 26N 35 So3,,Sean Lewis,12.36,156.00,31.20,1928.16,Kgs,385.63,,,,,,
Burrow Pits (Part A) Steeraway,#3304,10.71,Origin 26N 35 So3,03/06/2003,Fertilizers,Compounds,Origin 26N 35 So3,,Sean Lewis,10.43,220.00,44.00,2294.60,Kgs,458.92,,,,,,
Common Field,SJ7121 1540,3.28,Crop Season Start Marker,01/05/2004,Events/Actions,Arable Events,Crop Season Start Marker,Miscanthus,,,,,,,,,,,,,
Bayley Hills South,SJ7218 6292,12.43,Crop Season Start Marker,01/05/2004,Events/Actions,Arable Events,Crop Season Start Marker,Miscanthus,,,,,,,,,,,,,
Bayley Hills (S) (A) 04-05,#1635,5.51,Crop Season Start Marker,01/05/2004,Events/Actions,Arable Events,Crop Season Start Marker,Uncropped,,,,,,,,,,,,,
"Bayley Hills (S) (Part B) ",#1636,3.64,Crop Season Start Marker,01/05/2004,Events/Actions,Arable Events,Crop Season Start Marker,Miscanthus,,,,,,,,,,,,,
Bayley Hills (S) (C) 04-05,#1637,2.4,Crop Season Start Marker,01/05/2004,Events/Actions,Arable Events,Crop Season Start Marker,Overwintered stubble pt 2,,,,,,,,,,,,,
Bayley Hills (S) (D) 04-05,#1638,0.88,Crop Season Start Marker,01/05/2004,Events/Actions,Arable Events,Crop Season Start Marker,WM1 wild bird seed mix,,,,,,,,,,,,,
"Bayley Hills (S) (Part B) ",#1636,3.64,Azural (glyphosate),07/05/2004,Chemicals,Herbicide,Azural (glyphosate),,Sean Lewis,3.64,3.30,5.03,12.00,Litres,18.32,Stubble cleaning,Broken Cloud,westerly,14:00,15:00,
Common Field,SJ7121 1540,3.28,Glyphosate,12/05/2004,Chemicals,Herbicide,Glyphosate,,Sean Lewis,4.13,2.91,5.20,12.00,Litres,21.48,Stubble cleaning,Overcast,East,17:15,17:50,
"Bayley Hills (S) (Part B) ",#1636,3.64,Ploughed & Pressed,15/05/2004,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,John Ruscoe,3.64,0.00,0.00,0.00,Hctr,0.00,,,,,,
"Bayley Hills (S) (Part B) ",#1636,3.64,Power Harrow,16/05/2004,Events/Actions,Arable Physical Actions,Power Harrow,,John Ruscoe,3.64,1.00,0.00,3.64,Hctr,0.00,,,,,,
Common Field,SJ7121 1540,3.28,Ploughed & Pressed,17/05/2004,Events/Actions,Arable Physical Actions,Ploughed & Pressed,,John Ruscoe,4.13,0.00,0.00,0.00,Hctr,0.00,,,,,,
Common Field,SJ7121 1540,3.28,Power Harrow,18/05/2004,Events/Actions,Arable Physical Actions,Power Harrow,,John Ruscoe,4.13,1.00,0.00,4.13,Hctr,0.00,,,,,,
Common Field,SJ7121 1540,3.28,Ring Roll,20/05/2004,Events/Actions,Arable Physical Actions,Ring Roll,,John Ruscoe,4.13,1.00,0.00,4.13,Hctr,0.00,,,,,,
